Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
1,1981,87.4971856878958,158.12349917902,73,60,29,6,27,8,366.235734555876,87.4971856878958,19.8467929636802
1,1982,70.3866857325466,193.563385767108,79,66,42,6,38,9,132.580990309771,0,23.264732457166
1,1983,58.5045930616379,156.955289738956,48,45,26,4,33,4,114.64153812266,0,24.8942154051709
1,1984,87.6177140200184,152.954250616814,104,78,28,4,22,24,210.248220862282,87.6177140200184,16.0118059919768
1,1985,117.845412031798,165.121259108996,65,59,34,9,31,7,526.262847279658,117.845412031798,28.0814040795798
1,1986,54.0808328277559,155.217631231591,64,46,31,1,40,9,0,0,19.7797896922046
1,1987,60.1671558812112,85.9625361563636,64,42,15,1,32,5,60.1671558812112,0,15.3465594504226
1,1988,129.175154730476,176.976832706094,75,59,38,6,27,8,477.357113247049,227.582380287861,23.7807646340965
1,1989,73.5588019243546,123.753356208054,49,38,21,6,46,5,212.824416592137,0,22.628900426325
1,1990,115.040206877777,267.77288728848,61,52,35,12,32,6,820.82979799768,337.327409197728,30.2081185603367
1,1991,116.629150625644,247.346673722724,72,51,31,12,46,6,932.002712432384,378.029895279665,26.6715936600019
1,1992,89.8915356123189,182.898284829138,56,45,25,11,28,4,523.987344361382,89.8915356123189,25.6980879370997
1,1993,95.9384695425315,190.347273807475,61,55,38,9,47,6,510.771657612474,181.698495530849,29.01719604211
1,1994,85.4867664380107,258.709028716825,66,62,40,9,29,4,484.941757198236,0,30.8266757630774
1,1995,94.2514703615482,214.593734950563,73,54,29,7,33,6,426.759153340986,94.2514703615482,22.5558053044087
1,1996,96.2798154439683,209.871653304606,66,57,30,8,36,6,454.780579523076,271.354594691174,22.9536308161327
1,1997,141.54326784741,248.287797534383,75,64,41,10,36,15,648.128879201861,235.764784985294,30.0175865826915
1,1998,101.048943945771,150.402684526096,87,69,31,3,38,7,161.753417547801,101.048943945771,20.1638886677304
1,1999,50.8056014082598,184.885538633965,92,74,32,1,26,8,0,0,18.5777361990174
1,2000,83.7827158619552,117.458750745923,92,75,34,2,29,7,152.50465270211,0,17.6968792918132
1,2001,56.8924053898163,121.164700358056,89,52,23,1,26,8,56.8924053898163,0,13.8337705374799
1,2002,70.6026144479144,153.023130157034,88,60,27,3,31,9,134.077737253412,0,16.585371135412
1,2003,74.8992324603819,136.140524954605,91,57,31,4,34,7,211.556388892459,0,18.162178307358
1,2004,87.4882029070482,196.848456525229,98,70,42,3,23,14,217.17900537806,87.4882029070482,20.5720611565321
1,2005,73.2901291488407,108.334305081924,75,61,33,5,30,9,263.628090266105,0,20.0286638039601
1,2006,59.2112045176117,179.96209698905,124,91,38,7,20,11,289.771688691351,0,18.2399020089553
1,2007,87.4400774216939,190.756932619408,105,78,37,9,28,10,438.40959343681,87.4400774216939,20.3795106997644
1,2008,112.085164128374,172.998542176031,109,81,34,6,30,8,234.896992107341,112.085164128374,18.2384768549679
1,2009,84.7295572447101,133.171821198516,107,80,42,4,26,8,219.933453773919,0,19.6355093028411
1,2010,89.7549177621654,163.643632396276,114,91,45,5,23,10,225.869533740324,89.7549177621654,18.58088634008
1,2011,67.8625862055784,140.198758284219,106,80,34,3,20,15,130.321402061627,0,16.1259386035813
1,2012,71.1950570610637,189.743392040666,108,85,46,5,24,8,307.600175635496,0,20.123456106953
1,2013,75.0500160953225,172.173303304783,103,69,32,6,25,8,388.805245033292,0,16.3939246232506
1,2014,85.2239126039047,159.897545950394,97,69,34,3,34,12,196.658909795668,0,18.7482362245238
1,2015,60.036901490146,177.197459488958,125,80,37,3,17,15,119.742429566953,0,16.0760507947614
1,2016,68.0844848915118,196.039590348297,85,53,20,3,25,9,127.818165657688,0,15.2547098376706
1,2017,68.9376429659477,182.298187960339,94,69,36,5,21,13,237.432975967119,0,18.0475862679706
1,2018,48.0816507745841,110.735178474029,121,79,29,0,21,17,0,0,12.848549560402
