Year,Grid,TX90p,TX10p,TN90p,TN10p,WSDI,DTR,TXx,TXn,TNx,TNn,rv20TXx,rv20TXn,rv20TNx,rv20TNn
1981,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,16,4.91462515873101,31.1420230574884,28.5509064708217,25.9964210102385,24.0637961935718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1982,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,4.96785926958032,31.3445300766551,28.7428683941551,26.0099860760718,24.2938109944052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1983,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,23,5.09367158086799,31.7624873816551,29.0611502033217,26.6230575194052,24.3729354469052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1984,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,20,4.52795717011033,30.7780157424884,27.9439118399884,26.0148828752385,24.0429844785718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1985,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.53767621415566,30.6229406708217,28.0510755866551,25.9821235277385,24.0986485394052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1986,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.69079761873101,30.8668931016551,28.3154137633217,25.9582549652385,24.0366698827385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1987,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.71008631719676,31.5164266924884,28.7144069383217,26.6860636010718,24.7565299577385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1988,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,15,4.65347776139448,31.2508525541551,28.6196447716551,26.4144876727385,24.5871205252385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1989,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,4.82028353621046,31.2742290183217,27.9116547608217,25.9683511977385,24.0481444910718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1990,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,8,4.74822455248443,31.3507683766551,28.7194817566551,26.3373405077385,24.3756159069052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1991,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.77491388837484,31.2888990733217,28.3713842741551,26.4825749319052,24.1905458702385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1992,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,18,5.07940246929066,31.4185453766551,28.4826615349884,26.1370498277385,24.0072560235718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1993,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,20,4.83252288215566,31.2677618374884,28.2117213908217,26.0896890894052,24.0445014569052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1994,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.64220293242964,31.0005524649884,27.9926713024884,26.1364839802385,24.2631014110718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1995,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,17,4.90703811207347,31.3838952091551,28.6861502041551,26.2560810985718,24.2850880560718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1996,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,25,4.69897696879886,31.0248826058217,28.0339590399884,26.2036366394052,24.0385785027385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1997,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,4.99417721092279,31.5318787591551,28.4351151491551,26.2415509152385,24.3998811977385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1998,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,21,4.84516384823786,32.1312045766551,28.7171967533217,26.9084985969052,24.8514307269052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1999,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.51272186489539,30.7364724174884,27.8790925049884,25.9159232719052,24.1337768160718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2000,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,13,4.51828926800651,30.9633477224884,27.9619311991551,26.1661025619052,24.3194114285718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2001,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,10,4.62226379229265,30.9593410199884,28.0026772516551,26.3547393402385,24.1310696527385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2002,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,8,4.80076144119676,31.4617544516551,28.3228511516551,26.4659148777385,24.2686759552385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2003,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.7828634667858,31.5344689408217,28.3479633024884,26.3890004077385,24.4286885185718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2004,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,9,4.72500371057481,31.3265742966551,28.5581060749884,26.3278978594052,24.3696052160718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2005,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,12,4.6708528347858,31.3245804799884,28.4349714616551,26.5038800169052,24.3776974585718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2006,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.67221036558032,31.1765664124884,27.9947744691551,26.3817893594052,24.2602887077385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2007,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.84265187503238,31.4521274266551,28.5522301691551,26.3189968985718,24.2762048960718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2008,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,8,4.58284999612126,31.0623569191551,28.3626549733217,26.3481437294052,24.4006187052385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2009,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.75830367234745,31.5837026933217,28.6426054324884,26.5349901435718,24.4297668069052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2010,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,4.58811951363512,31.5640481024884,28.2980759633217,26.5417764902385,24.5183453485718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2011,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.56741772637484,31.0898608858217,28.0450623533217,26.3649067810718,24.3318536994052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2012,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,0,4.71628581366224,31.2978814124884,28.3831157399884,26.5215039177385,24.1094835535718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2013,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.50583496722416,30.9783318541551,28.1915365558217,26.4770207319052,24.5773714319052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2014,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,26,4.79055623766251,31.6610444091551,28.4987010666551,26.5758951419052,24.5298453885718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2015,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,11,4.74727269664881,31.6370690374884,28.2596848499884,26.6036610519052,24.6397404594052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2016,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,23,4.79053608207755,31.9809220341551,29.0469086658217,26.9899067802385,24.9464052452385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2017,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,12,4.55571632536114,31.4242750499884,28.3314532933217,26.5982416402385,24.5183466210718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2018,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.70701031256662,31.3705971758217,28.5915380824884,26.4626418669052,24.6065564085718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2019,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,10,4.79131023067621,31.8401380874884,28.6006183333217,26.7187148660718,24.6406521727385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2020,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,16,5.13836376374421,32.4238376324884,29.2006841991551,27.1018249144052,25.0165766010718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2021,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,4.57094923711457,31.2990042074884,28.6218077049884,26.6970524719052,24.5713505669052,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2022,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,4.55471906952553,31.4488328008217,28.4149570174884,26.5190129202385,24.6330456677385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2023,1,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,12,4.58402489089539,31.4833621699884,28.6388237974884,26.5930867119052,24.8925544335718,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
2024,1,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,13,4.81284480721416,32.3217626924884,29.1550960241551,27.2258458069052,25.1644024777385,33.5873055793883,30.3477415471836,27.7056988948973,1.13638246956124E+218
1981,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,5.60802507476969,31.8843519026908,28.7098307760241,25.5583668694959,23.8274238236626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1982,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,23,5.60271225720805,31.7746272235241,28.8766106110241,25.6368262911626,23.9940103811626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1983,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,17,5.73414958479709,32.2835345418574,29.2639028368574,26.1134320236626,24.3024655328293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1984,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,13,5.18911631986767,31.2632823143574,28.1530604518574,25.4534893969959,23.7295437786626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1985,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.09860898044093,31.0745628818574,28.1034299685241,25.4508992161626,23.8266341811626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1986,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,5.31392571079709,31.3724233468574,28.3976448526908,25.5453231478293,23.8949604969959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1987,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,8,5.33294217534504,32.0255834410241,28.7024760410241,26.1436202669959,24.4458422003293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1988,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,8,5.28786161333762,31.9779989076908,28.7691137143574,25.9496187511626,24.2463271753293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1989,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,5.44171740060531,31.6985786918574,27.9316732226908,25.5288563711626,23.7997685411626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1990,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,10,5.38905885961901,31.7234352576908,28.8062803110241,25.9524645136626,23.9649767219959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1991,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,5.37789310487928,31.7198952185241,28.4744639551908,26.0469723686626,23.8414746261626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1992,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,23,5.74820531333761,31.9485138410241,28.6081551051908,25.6169631619959,23.6216234494959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1993,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,5.43460906246833,31.6589897601908,28.5057470160241,25.6790549886626,23.8686263686626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1994,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.14087352679709,31.2289373235241,27.9259905960241,25.6626200019959,23.9270764336626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
